SUBNO,TRT,INTC1C5,INTC2,INTC3,INTC4,AET1,AET2,AET3,AET4,AET5,UET1,UET2,UET3,UET4,UET5,AHT1,AHT2,AHT3,AHT4,AHT5,UHT1,UHT2,UHT3,UHT4,UHT5,ASC1,ASC2,ASC3,ASC4,ASC5,USC1,USC2,USC3,USC4,USC5,EF1,EF2,EF3,EF4,EF5,HF1,HF2,HF3,HF4,HF5
3,p9,46.5,51,48,54,1743.8,1707.25,1734.75,1721.64,1731.13,1786.79,1747.75,1776.41,1764.82,1775.15,1883.28,1823.82,1827.62,1873.48,1858.84,1847.5,1812.42,1785.83,1815.77,1858.84,96.52,59.65,60.28,82.96,81.6,110.93,56.36,66.69,72.68,55.77,199.93,80.18,92.01,128.95,128.78,366.63,375.27,430.79,486.54,410.77
3,p10,51.5,56,53,59,1740.62,1703.92,1730.59,1719.57,NA,1783.69,1739.12,1773.96,1762.89,NA,1862.44,1840.11,1826.62,1866.84,NA,1843.37,1829.43,1783.1,1809.1,NA,92.38,60.9,60.23,81.79,NA,106.54,56.27,66.2,71.7,NA,209.04,84.55,111.07,135.4,NA,410.86,454.74,436.97,463.74,NA
3,p11,56.5,61,58,64,1738.25,1699.97,1729.23,1715.86,NA,1781.52,1733,1774.76,1770.53,NA,1870.53,1828.8,1874.4,1865.55,NA,1846.88,1814.11,1810.05,1823.27,NA,90.23,84.19,65.83,80.25,NA,105.02,74.3,70.34,123.02,NA,205.39,85.6,107.2,105.51,NA,378.74,400.53,535.62,489.62,NA
3,p12,61.5,66,63,69,NA,NA,1727.71,1715.23,NA,NA,NA,1774.3,1782.28,NA,NA,NA,1871.13,1884.16,NA,NA,NA,1796.38,1845.73,NA,NA,NA,71.43,149.22,NA,NA,NA,88.61,99.1,NA,NA,88.8,121.92,111.28,NA,NA,NA,508.05,483.95,NA
4,bl,0,0,0,0,1684.61,1638.3,1643.91,1727.82,1673.1,1763.83,1702.46,1672.29,1754.62,1681.7,1907.23,1769.81,1809.94,1912.45,1848.05,1850.4,1833.46,1857.52,1856.54,1732.53,112.97,51.46,65.44,76.6,37.81,115.63,81.26,92.08,87.1,54.74,242.62,155.81,147.37,236.85,963.48,780.96,498.87,565.43,314.8,241.7
4,t1,2,2,2,2,1695.44,1619.71,1637.24,1720.65,1637.85,1761.93,1705.48,1674.66,1755.27,1682.83,1863.45,1751.67,1760.4,1831.17,1720.81,1860.34,1830.73,1841.33,1857.65,1752.79,162.3,111.35,83.99,NA,131.23,113.27,91.34,116.85,88.81,128.11,385.24,283.17,497.09,115.08,61.37,622.73,504.81,655.6,536.7,548.7
4,r1,2.5,2.5,3,3,1674.52,1643.25,1630.98,1702.23,1630.5,1761.46,1705.44,1674.89,1755.77,1683.2,1824.84,1712.56,1721.97,1831.54,1734.15,1853.2,1829.38,1843.34,1866.84,1765.8,201.26,172.68,98.15,83.21,100.27,120.36,101.83,119.24,85.15,109.64,197.82,181.36,131.19,249.01,90.64,749.77,585.07,653.9,354.75,560.45
4,t2,3.5,3.5,4,4,1653.64,1644.95,1627.41,1698.43,1630.32,1761.19,1706.08,1676.1,1756.85,1682.38,1816.35,1692.79,1711,1795.61,1735.73,1857.93,1838.94,1852.68,1869.74,1774.65,260.86,254.19,90.63,86.84,110.91,133.95,118.76,112.5,87.22,104.9,400,318.77,431.54,110.37,63.31,822.93,646.6,767.86,539.37,519.03
4,r2,4,4,5,5,1665.96,1639.51,1618.53,1691.98,1622.36,1760.47,1705.68,1679.05,1757.38,1682.4,1822.81,1719.69,1720.13,1808.84,1739.54,1858.75,1838.71,1868.94,1876.46,1773.21,236.86,260.23,84.32,86.5,90.53,127.76,141.76,108.67,83.42,94.92,180.77,171.36,104.58,197.95,89.5,777.18,482.88,659.08,411.1,483.09
4,t3,5,5,6,6,1637.67,1637.08,1619.4,1695.79,1622.15,1760.28,1706.23,1680.82,1758.18,1680.91,1816.52,1694.79,1709.8,1788.51,1728.12,1865.04,1851.79,1871.97,1879.52,1775.05,250.85,291.35,81.65,90.38,82.06,131.41,154.84,110.28,86.76,79.94,451.81,338.48,350.41,91.73,68.42,697.71,651.11,655.84,550.09,597.29
